site,tree_id,date,species,tag_id,dbh,notes,latitude,longitude,cover_MP,dead_main_MP,dead_fine_MP,no_symptoms_MP,striped_MP,striped_solid_MP,no_symptoms_canopy_position,striped_pattern_canopy_position,striped_or_solid_canopy_position,insect_damage_foliar,insect_damage_bark,necrosis_or_chlorosis_tissue,necrosis_or_chlorosis_tissue_other,bud_suspension,fruiting,leaf_clusters
ABW,130,5/27/2020,FAGGRA,530,22,,41.56167559,-81.42380398,0.85,0,0.075,0.625,0.375,0.035,7,7,2,yes,yes,N,,yes,no,no
ABW,131,5/27/2020,FAGGRA,531,22.1,,41.56163177,-81.42278407,0.85,0,0.075,0.85,0.075,0.035,7,7,2,yes,no,N,,yes,no,no
ABW,132,5/27/2020,FAGGRA,532,43.7,,41.56077684,-81.42277895,0.625,0,0.375,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,133,5/27/2020,FAGGRA,533,32.1,,41.56075446,-81.42336083,0.85,0,0.035,0.85,0.175,0.035,7,7,7,yes,yes,N,,yes,no,no
ABW,134,6/1/2020,FAGGRA,534,20.5,,41.56118949,-81.42928038,0.375,0.075,0.625,0.175,0.175,0.625,5,7,7,no,yes,N,,yes,no,no
ABW,135,6/1/2020,FAGGRA,535,26,1 core,41.56152204,-81.42935037,0.625,0,0.375,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,136,6/1/2020,FAGGRA,536,27,,41.56156898,-81.42926831,0.625,0,0.375,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,137,6/1/2020,FAGGRA,537,39.2,,41.56045347,-81.4292435,0.625,0.175,0.175,0.625,0.375,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,138,6/1/2020,FAGGRA,538,24,,41.56045946,-81.42934165,0.85,0.075,0.075,0.375,0.375,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,139,6/1/2020,FAGGRA,539,22.8,,41.56155959,-81.42877671,0.375,0,0.625,0.625,0.075,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,140,6/1/2020,FAGGRA,540,39.6,,41.56162299,-81.42759293,0.85,0,0.175,0.375,0.375,0.175,7,7,2,yes,yes,N,,yes,no,no
ABW,141,6/1/2020,FAGGRA,541,21.5,,41.56039635,-81.42700871,0.175,0,0.85,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,142,6/1/2020,FAGGRA,542,77,1 core,41.56040167,-81.42613742,0.85,0,0.035,0.85,0.175,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,143,6/1/2020,FAGGRA,543,23,,41.56160648,-81.42602761,0.85,0,0.175,0.625,0.175,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,144,6/1/2020,FAGGRA,544,23.2,,41.5607908,-81.42530241,0.375,0,0.625,0.175,0.625,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,145,6/1/2020,FAGGRA,545,20.3,,41.56084998,-81.42471995,0.375,0.035,0.625,0.375,0.375,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,146,6/1/2020,FAGGRA,546,29.5,,41.56116195,-81.42265247,0.85,0,0.075,0.85,0.075,0.075,7,2,2,yes,yes,N,,yes,no,no
ABW,147,6/2/2020,FAGGRA,547,42,,41.56190408,-81.42433229,0.625,0.035,0.375,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,148,6/2/2020,FAGGRA,548,21.4,,41.56189931,-81.42435693,0.375,0.035,0.625,0.375,0.075,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,149,6/2/2020,FAGGRA,549,40.7,,41.56277643,-81.4253962,0.85,0.035,0.175,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,150,6/2/2020,FAGGRA,550,42.8,,41.56281746,-81.42535052,0.625,0,0.375,0.375,0.625,0.175,7,7,7,yes,no,N,,yes,no,no
ABW,151,6/2/2020,FAGGRA,551,27.9,,41.56284068,-81.42534382,0.625,0,0.375,0.175,0.625,0.375,7,7,7,yes,no,N,,yes,no,no
ABW,152,6/2/2020,FAGGRA,552,67,1 core,41.5637279,-81.4255485,0.85,0,0.175,0.85,0.175,0.035,7,7,7,yes,yes,N,,yes,no,no
ABW,153,6/2/2020,FAGGRA,553,30.4,,41.56244773,-81.42427353,0.625,0,0.375,0.625,0.375,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,154,6/2/2020,FAGGRA,554,30.2,,41.56250758,-81.42423783,0.375,0.075,0.625,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,155,6/2/2020,FAGGRA,555,28.6,,41.5625663,-81.42432617,0.375,0.075,0.625,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,156,6/2/2020,FAGGRA,556,53.3,,41.56440612,-81.4249259,0.975,0,0.035,0.625,0.375,0.015,7,2,1,yes,yes,N,,no,no,no
ABW,157,6/2/2020,FAGGRA,557,62.9,,41.56443852,-81.42496035,0.85,0,0.035,0.85,0.175,0.015,7,3,1,yes,yes,None,,no,no,no
ABW,158,6/2/2020,FAGGRA,558,26.8,,41.56379299,-81.42551263,0.85,0,0.075,0.85,0.175,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,159,6/2/2020,FAGGRA,559,32.9,,41.56437712,-81.42669146,0.625,0,0.375,0.625,0.375,0.175,7,7,3,yes,yes,N,,yes,no,no
ABW,160,6/2/2020,FAGGRA,560,28.4,,41.56402454,-81.42655416,0.625,0,0.375,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,161,6/2/2020,FAGGRA,561,46.8,,41.56415563,-81.42757617,0.85,0.075,0.075,0.375,0.375,0.175,7,7,2,yes,yes,N,,yes,no,no
ABW,162,6/2/2020,FAGGRA,562,50.1,,41.56421791,-81.4274859,0.85,0,0.175,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,163,6/2/2020,FAGGRA,563,26.6,,41.56370427,-81.42706705,0.625,0.175,0.175,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,164,6/2/2020,FAGGRA,564,36.1,1 core,41.5636953,-81.42705096,0.625,0.175,0.175,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,165,6/5/2020,FAGGRA,565,20.2,,41.56471273,-81.42884435,0.625,0.075,0.375,0.625,0.375,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,166,6/5/2020,FAGGRA,566,27.1,,41.56389005,-81.42874972,0.375,0.075,0.625,0.075,0.375,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,167,6/5/2020,FAGGRA,567,20.3,,41.56379064,-81.42877093,0.375,0.175,0.375,0.075,0.375,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,168,6/5/2020,FAGGRA,568,21,,41.56388925,-81.42863019,0.375,0.075,0.625,0.075,0.375,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,169,6/5/2020,FAGGRA,569,61,1 core,41.56336874,-81.42762587,0.85,0,0.175,0.625,0.375,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,170,6/5/2020,FAGGRA,570,32.6,,41.56286117,-81.4270295,0.85,0,0.175,0.375,0.375,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,171,6/5/2020,FAGGRA,571,25.9,,41.56281604,-81.42705247,0.625,0,0.375,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,172,6/5/2020,FAGGRA,572,20.6,,41.56273142,-81.42903973,0.375,0,0.625,0.375,0.175,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,173,6/5/2020,FAGGRA,573,38.6,,41.56212247,-81.42651829,0.625,0,0.375,0.625,0.375,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,174,6/5/2020,FAGGRA,574,35.6,,41.56188405,-81.42892633,0.85,0,0.175,0.375,0.375,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,175,6/7/2020,FAGGRA,575,50.5,,41.56438567,-81.42440965,0.85,0,0.175,0.175,0.625,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,176,6/7/2020,FAGGRA,576,27.6,,41.56166465,-81.42195711,0.85,0,0.075,0.975,0.035,0.015,7,2,1,yes,yes,N,,no,no,no
ABW,177,6/7/2020,FAGGRA,577,26.1,,41.56120105,-81.425419,0.625,0,0.375,0.625,0.375,0.175,7,7,2,yes,yes,N,,yes,no,no
ABW,178,6/7/2020,FAGGRA,578,23.9,,41.56122938,-81.42547659,0.625,0,0.375,0.625,0.175,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,179,6/7/2020,FAGGRA,579,30,,41.56118848,-81.42550953,0.85,0.035,0.175,0.175,0.625,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,180,6/7/2020,FAGGRA,580,30.2,,41.56081678,-81.42767298,0.375,0.175,0.375,0.175,0.375,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,181,6/7/2020,FAGGRA,581,20,,41.56173161,-81.42763987,0.625,0.035,0.375,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,182,6/8/2020,FAGGRA,582,46.6,,41.56156994,-81.42938088,0.85,0,0.175,0.625,0.175,0.175,7,7,2,yes,yes,N,,yes,yes,no
ABW,183,6/8/2020,FAGGRA,583,31.1,1 core,41.56157639,-81.42951516,0.625,0.175,0.175,0.375,0.375,0.375,7,7,7,yes,yes,"N,C",,yes,no,no
ABW,184,6/8/2020,FAGGRA,584,32.6,1 core,41.56160921,-81.4295144,0.625,0.035,0.375,0.175,0.375,0.375,7,7,7,yes,yes,"N,C",,yes,no,no
ABW,185,6/8/2020,FAGGRA,585,43.9,1 core,41.56184118,-81.42915566,0.85,0,0.175,0.625,0.175,0.075,7,7,1,yes,yes,N,,yes,no,no
ABW,186,6/8/2020,FAGGRA,586,30.2,,41.56077881,-81.4272362,0.625,0,0.375,0.175,0.625,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,187,6/8/2020,FAGGRA,587,59.5,,41.56092969,-81.42730057,0.85,0,0.075,0.85,0.175,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,188,6/8/2020,FAGGRA,588,20,,41.56101133,-81.42729387,0.625,0.175,0.175,0.625,0.375,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,189,6/8/2020,FAGGRA,589,20.4,,41.56091875,-81.4271191,0.85,0,0.175,0.375,0.625,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,191,6/8/2020,FAGGRA,591,20,,41.56161546,-81.42497007,0.85,0.015,0.175,0.075,0.075,0.85,7,7,7,yes,yes,N,,yes,no,no
ABW,192,6/8/2020,FAGGRA,592,21.5,,41.56153897,-81.42495724,0.625,0,0.375,0.075,0.075,0.85,7,7,7,yes,yes,N,,yes,no,no
ABW,193,6/8/2020,FAGGRA,593,22.2,,41.56161446,-81.42484535,0.85,0,0.175,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,194,6/8/2020,FAGGRA,594,20.7,,41.56286666,-81.42581882,0.85,0.015,0.075,0.625,0.375,0.035,7,7,2,yes,yes,N,,yes,no,no
ABW,195,6/8/2020,FAGGRA,595,35.2,,41.56281943,-81.42588168,0.85,0.015,0.175,0.625,0.375,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,196,6/8/2020,FAGGRA,596,32,,41.5627709,-81.42587448,0.625,0.075,0.375,0.075,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,197,6/8/2020,FAGGRA,597,22.4,,41.56122113,-81.42492514,0.625,0,0.375,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,198,6/8/2020,FAGGRA,598,22.3,,41.561243,-81.42509085,0.85,0.015,0.075,0.625,0.375,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,199,6/8/2020,FAGGRA,599,26.3,,41.56082347,-81.42256513,0.375,0.175,0.375,0.375,0.375,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,200,6/8/2020,FAGGRA,600,20.9,,41.56088774,-81.42265222,0.375,0,0.625,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
